site,year,flight_date,flight_id,source_file,site_treeid,treeTop_x,treeTop_y,treeTop_x_std,treeTop_y_std
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5789,647930.6999929999,4870873.014988999,0.1496662954734467,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5790,647932.179993,4870873.574989,0.14966629548589203,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5791,647934.4199930001,4870874.254989,0.09797958968851447,0.14966629531165754
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5792,647936.2199929999,4870875.054989,0.0979795897455461,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5793,647938.179993,4870875.574988999,0.14966629548589205,0.09797958980257772
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5794,647940.059993,4870876.254989,0.09797958968851447,0.14966629531165754
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5795,647942.019993,4870876.934989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5796,647943.819993,4870877.6549889995,0.0979795897455461,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5797,647945.7399929999,4870878.294989,0.12649110641409791,0.12649110623002913
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5798,647947.539993,4870879.094989,0.12649110637728417,0.12649110652453918
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5799,647950.099993,4870878.294989,0.1496662954734467,0.12649110623002913
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5800,647951.3799930001,4870880.414989,0.1496662954734467,0.09797958934632471
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5801,647953.099993,4870881.014989001,0.1496662954734467,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5802,647955.059993,4870881.734989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5803,647957.059993,4870882.254989,0.09797958968851447,0.14966629531165754
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5805,647960.819993,4870883.854989,0.0979795897455461,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5806,647962.619993,4870884.454988999,0.09797958968851447,0.14966629521209496
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5807,647964.4599929999,4870885.134989001,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5808,647966.3799930001,4870885.774989,0.1496662954734467,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5809,647968.099993,4870886.414989,0.1496662954734467,0.09797958934632471
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5810,647969.939993,4870887.094989,0.12649110641409791,0.12649110652453918
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5811,647972.059993,4870887.854989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5812,647973.899993,4870888.374989,0.14966629548589205,0.09797958934632471
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5813,647975.8599929999,4870888.934989,0.0979795897455461,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5814,647977.579993,4870889.814988999,0.14966629543611076,0.09797958980257773
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5815,647979.539993,4870890.494989,0.12649110637728417,0.12649110623002913
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5816,647981.539993,4870891.294989,0.12649110637728417,0.12649110623002913
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5817,647983.4599929999,4870891.854989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5818,647984.939993,4870892.494988999,0.12649110641409791,0.12649110623002913
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5819,647987.059993,4870893.254989,0.09797958968851447,0.14966629531165754
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5820,647988.859993,4870894.054989,0.0979795897455461,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5821,647990.939993,4870894.494988999,0.12649110641409791,0.12649110623002913
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5822,647992.6999929999,4870895.174989,0.1496662954734467,0.09797958980257772
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5823,647994.419993,4870895.734989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5825,647998.3799930001,4870897.374989,0.1496662954734467,0.09797958934632471
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5826,648000.179993,4870897.974989,0.14966629548589203,0.09797958980257772
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5827,648002.059993,4870898.734989,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5828,648003.859993,4870899.334989,0.0979795897455461,0.14966629521209496
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5829,648005.859993,4870900.134989001,0.0979795897455461,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5830,648007.619993,4870900.6549889995,0.09797958968851447,0.14966629561034525
PIK,2024,2024-03-13,2024-03-13,UAVS_PIK_2024-03-13_treeTop.csv,PIK_5831,648009.579993,4870901.414989,0.14966629543611076,0.09797958934632471
