site,date,Cluster,Genotype,wp_pd
PIK,2023-05-06,K,1721,0.36
PIK,2023-06-21,N,1721,0.388
PIK,2023-07-25,N,886,0.1615
PIK,2023-08-19,N,1721,0.275
PIK,2023-09-07,N,1721,0.517
PIK,2023-10-13,N,1721,0.353
PIK,2023-05-06,K,1755,0.232
PIK,2023-06-21,B,1755,0.275
PIK,2023-07-25,B,1199,0.119
PIK,2023-08-19,B,1755,0.433
PIK,2023-09-07,B,1755,0.533
PIK,2023-10-13,B,1755,0.419
PIK,2023-05-06,K,2089,0.358
PIK,2023-06-21,I,2089,0.383
PIK,2023-07-25,I,886,0.1765
PIK,2023-08-19,I,2089,0.213
PIK,2023-09-07,I,2089,0.361
PIK,2023-10-13,I,2089,0.419
PIK,2023-05-06,K,2036,0.24
PIK,2023-06-21,B,2036,0.394
PIK,2023-07-25,B,1069,0.201
PIK,2023-08-19,B,2036,0.349
PIK,2023-09-07,B,2036,0.574
PIK,2023-10-13,B,2036,0.451
PIK,2023-05-06,K,2147,0.268
PIK,2023-06-21,J,2147,0.389
PIK,2023-07-25,J,2054,0.1085
PIK,2023-08-19,J,2147,0.161
PIK,2023-09-07,J,2147,0.331
PIK,2023-10-13,J,2147,0.379
PIK,2023-05-06,K,295,0.323
PIK,2023-06-21,F,295,0.47
PIK,2023-07-25,F,318,0.12
PIK,2023-08-19,F,295,0.152
PIK,2023-09-07,F,295,0.333
PIK,2023-10-13,F,295,0.36
PIK,2023-05-06,K,1222,0.32
PIK,2023-06-21,N,1222,0.476
PIK,2023-07-25,N,2106,0.2745
PIK,2023-08-19,N,1222,0.218
PIK,2023-09-07,N,1222,0.719
PIK,2023-10-13,N,1222,0.428
PIK,2023-05-06,K,591,0.378
PIK,2023-06-21,L,591,0.303
PIK,2023-07-25,L,1199,0.122
PIK,2023-08-19,L,591,0.227
PIK,2023-09-07,L,591,0.356
PIK,2023-10-13,L,591,0.343
PIK,2023-05-06,L,599,0.189
PIK,2023-06-21,J,599,0.338
PIK,2023-07-25,J,486,0.164
PIK,2023-08-19,J,599,0.39
PIK,2023-09-07,J,599,0.458
PIK,2023-10-13,J,599,0.273
PIK,2023-05-06,L,2218,0.238
PIK,2023-06-21,J,2218,0.374
PIK,2023-07-25,J,1412,0.13
PIK,2023-08-19,J,2218,0.28
PIK,2023-09-07,J,2218,0.327
PIK,2023-10-13,J,2218,0.345
PIK,2023-05-06,L,889,0.272
PIK,2023-06-21,F,889,0.333
