Title,Authors,Is in PCA*?,Citation,DOI,# Cells,COPO Link,Viewer(s),Species
<div title='A spatial transcriptome map of the developing maize ear' class='scea-table'>A spatial transcriptome map of the developing maize ear</div>,"<div title='Wang Y, Luo Y, Guo X, Li Y, Yan J, Shao W, Wei W, Wei X, Yang T, Chen J, Chen L, Ding Q, Bai M, Zhuo L, Li L, Jackson D*, Zhang Z, Xu X, Yan J, Liu H, Liu L, Yang N' class='scea-table'>Wang Y, Luo Y, Guo X, Li Y, Yan J, Shao W, Wei W, Wei X, Yang T, Chen J, Chen L, Ding Q, Bai M, Zhuo L, Li L, Jackson D*, Zhang Z, Xu X, Yan J, Liu H, Liu L, Yang N</div>",Yes,<div title='Nat Plants. 2024 May;10(5):815-827. doi: 10.1038/s41477-024-01683-2. Epub 2024 May 14.' class='scea-table'>Nat Plants. 2024 May;10(5):815-827. doi: 10.1038/s41477-024-01683-2. Epub 2024 May 14.</div>,<a href='http://dx.doi.org/10.1038/s41477-024-01683-2'>10.1038/s41477-024-01683-2</a>,19584,,,<i>Zea mays</i>
<div title='Vascular transcription factors guide plant epidermal responses to limiting phosphate conditions' class='scea-table'>Vascular transcription factors guide plant epidermal responses to limiting phosphate conditions</div>,"<div title='Wendrich JR, Yang B, Vandamme N, Verstaen K, Smet W, Van de Velde C, Minne M, Wybouw B, Mor E, Arents HE, Nolf J, Van Duyse J, Van Isterdael G, Maere S, Saeys Y*, De Rybel B*' class='scea-table'>Wendrich JR, Yang B, Vandamme N, Verstaen K, Smet W, Van de Velde C, Minne M, Wybouw B, Mor E, Arents HE, Nolf J, Van Duyse J, Van Isterdael G, Maere S, Saeys Y*, De Rybel B*</div>",Yes,<div title='Science. 2020 Nov 13;370(6518):eaay4970. doi: 10.1126/science.aay4970. Epub 2020 Sep 17.' class='scea-table'>Science. 2020 Nov 13;370(6518):eaay4970. doi: 10.1126/science.aay4970. Epub 2020 Sep 17.</div>,<a href='http://dx.doi.org/10.1126/science.aay4970'>10.1126/science.aay4970</a>,15918,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP235541.h5ad'>scPlantDB</a> <a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-141730/'>SCEA</a>,<i>Arabidopsis thaliana</i>
<div title='Identification of bZIP Transcription Factors That Regulate the Development of Leaf Epidermal Cells in Arabidopsis thaliana by Single-Cell RNA Sequencing' class='scea-table'>Identification of bZIP Transcription Factors That Regulate the Development of Leaf Epidermal Cells in Arabidopsis thaliana by Single-Cell RNA Sequencing</div>,"<div title='Wu R, Liu Z, Sun S, Qin A, Liu H, Zhou Y, Li W, Liu Y, Hu M, Yang J, Rochaix JD, An G, Herrera-Estrella L, Tran LP, Sun X' class='scea-table'>Wu R, Liu Z, Sun S, Qin A, Liu H, Zhou Y, Li W, Liu Y, Hu M, Yang J, Rochaix JD, An G, Herrera-Estrella L, Tran LP, Sun X</div>",,<div title='Int J Mol Sci. 2024 Feb 22;25(5):2553. doi: 10.3390/ijms25052553.' class='scea-table'>Int J Mol Sci. 2024 Feb 22;25(5):2553. doi: 10.3390/ijms25052553.</div>,<a href='http://dx.doi.org/10.3390/ijms25052553'>10.3390/ijms25052553</a>,18000,,,<i>Arabidopsis thaliana</i>
<div title='Single-cell RNA sequencing facilitates the elucidation of the complete biosynthesis of the antidepressant hyperforin in St. John's wort' class='scea-table'>Single-cell RNA sequencing facilitates the elucidation of the complete biosynthesis of the antidepressant hyperforin in St. John's wort</div>,"<div title='Wu S, Morotti ALM, Yang J, Wang E, Tatsis EC' class='scea-table'>Wu S, Morotti ALM, Yang J, Wang E, Tatsis EC</div>",,<div title='Mol Plant. 2024 Sep 2;17(9):1439-1457. doi: 10.1016/j.molp.2024.08.003. Epub 2024 Aug 12.' class='scea-table'>Mol Plant. 2024 Sep 2;17(9):1439-1457. doi: 10.1016/j.molp.2024.08.003. Epub 2024 Aug 12.</div>,<a href='http://dx.doi.org/10.1016/j.molp.2024.08.003'>10.1016/j.molp.2024.08.003</a>,15074,,,<i>Hypericum perforatum</i>
<div title='The single-cell stereo-seq reveals region-specific cell subtypes and transcriptome profiling in Arabidopsis leaves' class='scea-table'>The single-cell stereo-seq reveals region-specific cell subtypes and transcriptome profiling in Arabidopsis leaves</div>,"<div title='Xia K, Sun HX, Li J, Li J, Zhao Y, Chen L, Qin C, Chen R, Chen Z, Liu G, Yin R, Mu B, Wang X, Xu M, Li X, Yuan P, Qiao Y, Hao S, Wang J*, Xie Q, Xu J, Liu S, Li Y, Chen A, Liu L, Yin Y, Yang H, Wang J*, Gu Y, Xu X' class='scea-table'>Xia K, Sun HX, Li J, Li J, Zhao Y, Chen L, Qin C, Chen R, Chen Z, Liu G, Yin R, Mu B, Wang X, Xu M, Li X, Yuan P, Qiao Y, Hao S, Wang J*, Xie Q, Xu J, Liu S, Li Y, Chen A, Liu L, Yin Y, Yang H, Wang J*, Gu Y, Xu X</div>",Yes,<div title='Dev Cell. 2022 May 23;57(10):1299-1310.e4. doi: 10.1016/j.devcel.2022.04.011. Epub 2022 May 4.' class='scea-table'>Dev Cell. 2022 May 23;57(10):1299-1310.e4. doi: 10.1016/j.devcel.2022.04.011. Epub 2022 May 4.</div>,<a href='http://dx.doi.org/10.1016/j.devcel.2022.04.011'>10.1016/j.devcel.2022.04.011</a>,n/a (spatial),,<a href='https://db.cngb.org/stomics/datasets/STDS0000104'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='Single-cell RNA sequencing profiles of stem-differentiating xylem in poplar' class='scea-table'>Single-cell RNA sequencing profiles of stem-differentiating xylem in poplar</div>,"<div title='Xie J, Li M, Zeng J, Li X, Zhang D' class='scea-table'>Xie J, Li M, Zeng J, Li X, Zhang D</div>",,<div title='Plant Biotechnol J. 2022 Mar;20(3):417-419. doi: 10.1111/pbi.13763. Epub 2021 Dec 23.' class='scea-table'>Plant Biotechnol J. 2022 Mar;20(3):417-419. doi: 10.1111/pbi.13763. Epub 2021 Dec 23.</div>,<a href='http://dx.doi.org/10.1111/pbi.13763'>10.1111/pbi.13763</a>,12466,,,<i>Populus trichocarpa</i>
<div title='Single-Cell RNA Sequencing Efficiently Predicts Transcription Factor Targets in Plants' class='scea-table'>Single-Cell RNA Sequencing Efficiently Predicts Transcription Factor Targets in Plants</div>,"<div title='Xie Y, Jiang S, Li L, Yu X, Wang Y, Luo C, Cai Q, He W, Xie H, Zheng Y, Xie H, Zhang J' class='scea-table'>Xie Y, Jiang S, Li L, Yu X, Wang Y, Luo C, Cai Q, He W, Xie H, Zheng Y, Xie H, Zhang J</div>",,<div title='Front Plant Sci. 2020 Dec 8;11:603302. doi: 10.3389/fpls.2020.603302. eCollection 2020.' class='scea-table'>Front Plant Sci. 2020 Dec 8;11:603302. doi: 10.3389/fpls.2020.603302. eCollection 2020.</div>,<a href='http://dx.doi.org/10.3389/fpls.2020.603302'>10.3389/fpls.2020.603302</a>,16527,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP286275.h5ad'>scPlantDB</a>,<i>Oryza sativa</i>
<div title='The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER' class='scea-table'>The soil emergence-related transcription factor PIF3 controls root penetration by interacting with the receptor kinase FER</div>,"<div title='Xu F, Chen J, Li Y, Ouyang S, Yu M, Wang Y, Fang X, He K, Yu F' class='scea-table'>Xu F, Chen J, Li Y, Ouyang S, Yu M, Wang Y, Fang X, He K, Yu F</div>",,<div title='Dev Cell. 2024 Feb 26;59(4):434-447.e8. doi: 10.1016/j.devcel.2024.01.001. Epub 2024 Jan 30.' class='scea-table'>Dev Cell. 2024 Feb 26;59(4):434-447.e8. doi: 10.1016/j.devcel.2024.01.001. Epub 2024 Jan 30.</div>,<a href='http://dx.doi.org/10.1016/j.devcel.2024.01.001'>10.1016/j.devcel.2024.01.001</a>,70905,,,<i>Arabidopsis thaliana</i>
<div title='Single-cell RNA sequencing of developing maize ears facilitates functional analysis and trait candidate gene discovery' class='scea-table'>Single-cell RNA sequencing of developing maize ears facilitates functional analysis and trait candidate gene discovery</div>,"<div title='Xu X, Crow M, Rice BR, Li F, Harris B, Liu L, Demesa-Arevalo E, Lu Z, Wang L, Fox N, Wang X, Drenkow J, Luo A, Char SN, Yang B, Sylvester AW, Gingeras TR, Schmitz RJ*, Ware D, Lipka AE, Gillis J, Jackson D*' class='scea-table'>Xu X, Crow M, Rice BR, Li F, Harris B, Liu L, Demesa-Arevalo E, Lu Z, Wang L, Fox N, Wang X, Drenkow J, Luo A, Char SN, Yang B, Sylvester AW, Gingeras TR, Schmitz RJ*, Ware D, Lipka AE, Gillis J, Jackson D*</div>",Yes,<div title='Dev Cell. 2021 Feb 22;56(4):557-568.e6. doi: 10.1016/j.devcel.2020.12.015. Epub 2021 Jan 4.' class='scea-table'>Dev Cell. 2021 Feb 22;56(4):557-568.e6. doi: 10.1016/j.devcel.2020.12.015. Epub 2021 Jan 4.</div>,<a href='http://dx.doi.org/10.1016/j.devcel.2020.12.015'>10.1016/j.devcel.2020.12.015</a>,12525,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP272727_23_26.h5ad'>scPlantDB</a> <a href='https://www.ebi.ac.uk/gxa/sc/experiments/E-ENAD-51/'>SCEA</a>,<i>Zea mays</i>
<div title='Large-scale single-cell profiling of stem cells uncovers redundant regulators of shoot development and yield trait variation' class='scea-table'>Large-scale single-cell profiling of stem cells uncovers redundant regulators of shoot development and yield trait variation</div>,"<div title='Xu X, Passalacqua M*, Rice B, Demesa-Arevalo E, Kojima M, Takebayashi Y, Harris B, Sakakibara H, Gallavotti A, Gillis J, Jackson D*' class='scea-table'>Xu X, Passalacqua M*, Rice B, Demesa-Arevalo E, Kojima M, Takebayashi Y, Harris B, Sakakibara H, Gallavotti A, Gillis J, Jackson D*</div>",Yes,<div title='Dev Cell. 2025 Aug 25:S1534-5807(25)00500-3' class='scea-table'>Dev Cell. 2025 Aug 25:S1534-5807(25)00500-3</div>,<a href='http://dx.doi.org/10.1016/j.devcel.2025.07.024'>10.1016/j.devcel.2025.07.024</a>,11554,,,<i>Zea mays</i>
<div title='Evolution of plant cell-type-specific cis-regulatory elements' class='scea-table'>Evolution of plant cell-type-specific cis-regulatory elements</div>,"<div title='Yan H, Mendieta JP, Zhang X, Marand AP, Liang Y, Luo Z, Minow MAA, Jang H, Li X, Roule T, Wagner D, Tu X, Wang Y, Jiang D, Zhong S, Huang L, Wessler SR, Schmitz RJ*' class='scea-table'>Yan H, Mendieta JP, Zhang X, Marand AP, Liang Y, Luo Z, Minow MAA, Jang H, Li X, Roule T, Wagner D, Tu X, Wang Y, Jiang D, Zhong S, Huang L, Wessler SR, Schmitz RJ*</div>",Yes,<div title='bioRxiv [Preprint]. 2024 Oct 5:2024.01.08.574753. doi: 10.1101/2024.01.08.574753.' class='scea-table'>bioRxiv [Preprint]. 2024 Oct 5:2024.01.08.574753. doi: 10.1101/2024.01.08.574753.</div>,<a href='http://dx.doi.org/10.1101/2024.01.08.574753'>10.1101/2024.01.08.574753</a>,57552,,,"<i>Zea mays, Sorghum bicolor, Panicum miliaceum, Urochloa fusca</i>"
<div title='Single-cell transcriptomic profiling of maize cell heterogeneity and systemic immune responses against Puccinia polysora Underw' class='scea-table'>Single-cell transcriptomic profiling of maize cell heterogeneity and systemic immune responses against Puccinia polysora Underw</div>,"<div title='Yan XC, Liu Q, Yang Q, Wang KL, Zhai XZ, Kou MY, Liu JL, Li ST, Deng SH, Li MM, Duan HJ' class='scea-table'>Yan XC, Liu Q, Yang Q, Wang KL, Zhai XZ, Kou MY, Liu JL, Li ST, Deng SH, Li MM, Duan HJ</div>",,<div title='Plant Biotechnol J. 2025 Feb;23(2):549-563. doi: 10.1111/pbi.14519. Epub 2024 Nov 29.' class='scea-table'>Plant Biotechnol J. 2025 Feb;23(2):549-563. doi: 10.1111/pbi.14519. Epub 2024 Nov 29.</div>,<a href='http://dx.doi.org/10.1111/pbi.14519'>10.1111/pbi.14519</a>,70803,,,<i>Zea mays </i>
<div title='Non-cell autonomous and spatiotemporal signalling from a tissue organizer orchestrates root vascular development' class='scea-table'>Non-cell autonomous and spatiotemporal signalling from a tissue organizer orchestrates root vascular development</div>,"<div title='Yang B, Minne M, Brunoni F, Plackova L, Petrik I, Sun Y, Nolf J, Smet W, Verstaen K*, Wendrich JR*, Eekhout T*, Hoyerova K, Van Isterdael G, Haustraete J, Bishopp A, Farcot E, Novak O, Saeys Y*, De Rybel B*' class='scea-table'>Yang B, Minne M, Brunoni F, Plackova L, Petrik I, Sun Y, Nolf J, Smet W, Verstaen K*, Wendrich JR*, Eekhout T*, Hoyerova K, Van Isterdael G, Haustraete J, Bishopp A, Farcot E, Novak O, Saeys Y*, De Rybel B*</div>",Yes,<div title='Nat Plants. 2021 Nov;7(11):1485-1494. doi: 10.1038/s41477-021-01017-6. Epub 2021 Nov 15.' class='scea-table'>Nat Plants. 2021 Nov;7(11):1485-1494. doi: 10.1038/s41477-021-01017-6. Epub 2021 Nov 15.</div>,<a href='http://dx.doi.org/10.1038/s41477-021-01017-6'>10.1038/s41477-021-01017-6</a>,10000,,<a href='https://bioit3.irc.ugent.be/plant-sc-atlas/ck'>VIB Plant sc-Atlas</a>,<i>Arabidopsis thaliana</i>
<div title='Single-nucleus RNA sequencing and mRNA hybridization indicate key bud events and LcFT1 and LcTFL1-2 mRNA transportability during floral transition in litchi' class='scea-table'>Single-nucleus RNA sequencing and mRNA hybridization indicate key bud events and LcFT1 and LcTFL1-2 mRNA transportability during floral transition in litchi</div>,"<div title='Yang MC, Wu ZC, Chen RY, Abbas F, Hu GB, Huang XM, Guan WS, Xu YS, Wang HC' class='scea-table'>Yang MC, Wu ZC, Chen RY, Abbas F, Hu GB, Huang XM, Guan WS, Xu YS, Wang HC</div>",,<div title='J Exp Bot. 2023 Jun 27;74(12):3613-3629. doi: 10.1093/jxb/erad103.' class='scea-table'>J Exp Bot. 2023 Jun 27;74(12):3613-3629. doi: 10.1093/jxb/erad103.</div>,<a href='http://dx.doi.org/10.1093/jxb/erad103'>10.1093/jxb/erad103</a>,41641,,,<i>Litchi chinensis</i>
<div title='Spatiotemporal transcriptomic landscape of rice embryonic cells during seed germination' class='scea-table'>Spatiotemporal transcriptomic landscape of rice embryonic cells during seed germination</div>,"<div title='Yao J, Chu Q, Guo X, Shao W, Shang N, Luo K, Li X, Chen H, Cheng Q, Mo F, Zheng D, Xu F, Guo F, Zhu QH, Deng S, Chu C, Xu X, Liu H, Fan L' class='scea-table'>Yao J, Chu Q, Guo X, Shao W, Shang N, Luo K, Li X, Chen H, Cheng Q, Mo F, Zheng D, Xu F, Guo F, Zhu QH, Deng S, Chu C, Xu X, Liu H, Fan L</div>",,<div title='Dev Cell. 2024 Sep 9;59(17):2320-2332.e5. doi: 10.1016/j.devcel.2024.05.016. Epub 2024 Jun 6.' class='scea-table'>Dev Cell. 2024 Sep 9;59(17):2320-2332.e5. doi: 10.1016/j.devcel.2024.05.016. Epub 2024 Jun 6.</div>,<a href='http://dx.doi.org/10.1016/j.devcel.2024.05.016'>10.1016/j.devcel.2024.05.016</a>,27099,,,<i>Oryza sativa</i>
<div title='Differentiation trajectories and biofunctions of symbiotic and un-symbiotic fate cells in root nodules of <i>Medicago truncatula</i>' class='scea-table'>Differentiation trajectories and biofunctions of symbiotic and un-symbiotic fate cells in root nodules of <i>Medicago truncatula</i></div>,"<div title='Ye Q, Zhu F, Sun F, Wang T, Wu J, Liu P, Shen C, Dong J, Wang T' class='scea-table'>Ye Q, Zhu F, Sun F, Wang T, Wu J, Liu P, Shen C, Dong J, Wang T</div>",,<div title='NA' class='scea-table'>NA</div>,<a href='http://dx.doi.org/10.1016/j.molp.2022.10.019'>10.1016/j.molp.2022.10.019</a>,9756,,,<i>Medicago truncatula</i>
<div title='A single-cell transcriptome atlas reveals the trajectory of early cell fate transition during callus induction in Arabidopsis' class='scea-table'>A single-cell transcriptome atlas reveals the trajectory of early cell fate transition during callus induction in Arabidopsis</div>,"<div title='Yin R, Chen R, Xia K, Xu X' class='scea-table'>Yin R, Chen R, Xia K, Xu X</div>",,<div title='Plant Commun. 2024 Aug 12;5(8):100941. doi: 10.1016/j.xplc.2024.100941. Epub 2024 May 7.' class='scea-table'>Plant Commun. 2024 Aug 12;5(8):100941. doi: 10.1016/j.xplc.2024.100941. Epub 2024 May 7.</div>,<a href='http://dx.doi.org/10.1016/j.xplc.2024.100941'>10.1016/j.xplc.2024.100941</a>,25188,,,<i>Arabidopsis thaliana</i>
<div title='Integrated mass spectrometry imaging and single-cell transcriptome atlas strategies provide novel insights into taxoid biosynthesis and transport in Taxus mairei stems' class='scea-table'>Integrated mass spectrometry imaging and single-cell transcriptome atlas strategies provide novel insights into taxoid biosynthesis and transport in Taxus mairei stems</div>,"<div title='Yu C, Hou K, Zhang H, Liang X, Chen C, Wang Z, Wu Q, Chen G, He J, Bai E, Li X, Du T, Wang Y, Wang M, Feng S, Wang H, Shen C' class='scea-table'>Yu C, Hou K, Zhang H, Liang X, Chen C, Wang Z, Wu Q, Chen G, He J, Bai E, Li X, Du T, Wang Y, Wang M, Feng S, Wang H, Shen C</div>",,<div title='Plant J. 2023 Sep;115(5):1243-1260. doi: 10.1111/tpj.16315. Epub 2023 Jun 2.' class='scea-table'>Plant J. 2023 Sep;115(5):1243-1260. doi: 10.1111/tpj.16315. Epub 2023 Jun 2.</div>,<a href='http://dx.doi.org/10.1111/tpj.16315'>10.1111/tpj.16315</a>,21233,,,<i>Taxus mairei</i>
<div title='Single-cell atlases reveal leaf cell-type-specific regulation of metal transporters in the hyperaccumulator Sedum alfredii under cadmium stress' class='scea-table'>Single-cell atlases reveal leaf cell-type-specific regulation of metal transporters in the hyperaccumulator Sedum alfredii under cadmium stress</div>,"<div title='Yu G, Xiang J, Liu J, Zhang X, Lin H, Sunahara GI, Yu H, Jiang P, Lan H, Qu J' class='scea-table'>Yu G, Xiang J, Liu J, Zhang X, Lin H, Sunahara GI, Yu H, Jiang P, Lan H, Qu J</div>",,<div title='J Hazard Mater. 2024 Dec 5;480:136185. doi: 10.1016/j.jhazmat.2024.136185. Epub 2024 Oct 16.' class='scea-table'>J Hazard Mater. 2024 Dec 5;480:136185. doi: 10.1016/j.jhazmat.2024.136185. Epub 2024 Oct 16.</div>,<a href='http://dx.doi.org/10.1016/j.jhazmat.2024.136185'>10.1016/j.jhazmat.2024.136185</a>,12616,,,<i>Sedum alfredii</i>
<div title='Decoding the gene regulatory network of endosperm differentiation in maize' class='scea-table'>Decoding the gene regulatory network of endosperm differentiation in maize</div>,"<div title='Yuan Y, Huo Q, Zhang Z, Wang Q, Wang J, Chang S, Cai P, Song KM, Galbraith DW, Zhang W, Huang L, Song R, Ma Z' class='scea-table'>Yuan Y, Huo Q, Zhang Z, Wang Q, Wang J, Chang S, Cai P, Song KM, Galbraith DW, Zhang W, Huang L, Song R, Ma Z</div>",,<div title='Nat Commun. 2024 Jan 2;15(1):34. doi: 10.1038/s41467-023-44369-7.' class='scea-table'>Nat Commun. 2024 Jan 2;15(1):34. doi: 10.1038/s41467-023-44369-7.</div>,<a href='http://dx.doi.org/10.1038/s41467-023-44369-7'>10.1038/s41467-023-44369-7</a>,17022,,,<i>Zea mays</i>
<div title='Single-cell transcriptome landscape elucidates the cellular and developmental responses to tomato chlorosis virus infection in tomato leaf' class='scea-table'>Single-cell transcriptome landscape elucidates the cellular and developmental responses to tomato chlorosis virus infection in tomato leaf</div>,"<div title='Yue H, Chen G, Zhang Z, Guo Z, Zhang Z, Zhang S, Turlings TCJ, Zhou X, Peng J, Gao Y, Zhang D, Shi X, Liu Y' class='scea-table'>Yue H, Chen G, Zhang Z, Guo Z, Zhang Z, Zhang S, Turlings TCJ, Zhou X, Peng J, Gao Y, Zhang D, Shi X, Liu Y</div>",,<div title='Plant Cell Environ. 2024 Jul;47(7):2660-2674. doi: 10.1111/pce.14906. Epub 2024 Apr 15.' class='scea-table'>Plant Cell Environ. 2024 Jul;47(7):2660-2674. doi: 10.1111/pce.14906. Epub 2024 Apr 15.</div>,<a href='http://dx.doi.org/10.1111/pce.14906'>10.1111/pce.14906</a>,23226,,,<i>Solanum lycopersicum</i>
<div title='Single-cell RNA-sequencing profiles reveal the developmental landscape of the Manihot esculenta Crantz leaves' class='scea-table'>Single-cell RNA-sequencing profiles reveal the developmental landscape of the Manihot esculenta Crantz leaves</div>,"<div title='Zang Y, Pei Y, Cong X, Ran F, Liu L, Wang C, Wang D, Min Y' class='scea-table'>Zang Y, Pei Y, Cong X, Ran F, Liu L, Wang C, Wang D, Min Y</div>",,<div title='Plant Physiol. 2023 Dec 30;194(1):456-474. doi: 10.1093/plphys/kiad500.' class='scea-table'>Plant Physiol. 2023 Dec 30;194(1):456-474. doi: 10.1093/plphys/kiad500.</div>,<a href='http://dx.doi.org/10.1093/plphys/kiad500'>10.1093/plphys/kiad500</a>,11177,,,<i>Manihot esculenta</i>
<div title='Single-Cell RNA sequencing of leaf sheath cells reveals the mechanism of rice resistance to brown planthopper (Nilaparvata lugens)' class='scea-table'>Single-Cell RNA sequencing of leaf sheath cells reveals the mechanism of rice resistance to brown planthopper (Nilaparvata lugens)</div>,"<div title='Zha W, Li C, Wu Y, Chen J, Li S, Sun M, Wu B, Shi S, Liu K, Xu H, Li P, Liu K, Yang G, Chen Z, Xu D, Zhou L, You A' class='scea-table'>Zha W, Li C, Wu Y, Chen J, Li S, Sun M, Wu B, Shi S, Liu K, Xu H, Li P, Liu K, Yang G, Chen Z, Xu D, Zhou L, You A</div>",,<div title='Front Plant Sci. 2023 Jun 19;14:1200014. doi: 10.3389/fpls.2023.1200014. eCollection 2023.' class='scea-table'>Front Plant Sci. 2023 Jun 19;14:1200014. doi: 10.3389/fpls.2023.1200014. eCollection 2023.</div>,<a href='http://dx.doi.org/10.3389/fpls.2023.1200014'>10.3389/fpls.2023.1200014</a>,30936,,,<i>Oryza sativa</i>
<div title='Pluripotency acquisition in the middle cell layer of callus is required for organ regeneration' class='scea-table'>Pluripotency acquisition in the middle cell layer of callus is required for organ regeneration</div>,"<div title='Zhai N, Xu L' class='scea-table'>Zhai N, Xu L</div>",,<div title='Nat Plants. 2021 Nov;7(11):1453-1460. doi: 10.1038/s41477-021-01015-8. Epub 2021 Nov 15.' class='scea-table'>Nat Plants. 2021 Nov;7(11):1453-1460. doi: 10.1038/s41477-021-01015-8. Epub 2021 Nov 15.</div>,<a href='http://dx.doi.org/10.1038/s41477-021-01015-8'>10.1038/s41477-021-01015-8</a>,5913,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/SRP279055.h5ad'>scPlantDB</a>,<i>Arabidopsis thaliana</i>
<div title='Single-cell RNA-sequencing provides new insights into the cell-specific expression patterns and transcriptional regulation of photosynthetic genes in bermudagrass leaf blades' class='scea-table'>Single-cell RNA-sequencing provides new insights into the cell-specific expression patterns and transcriptional regulation of photosynthetic genes in bermudagrass leaf blades</div>,"<div title='Zhang B, Ma Z, Guo H, Chen S, Liu J' class='scea-table'>Zhang B, Ma Z, Guo H, Chen S, Liu J</div>",,<div title='Plant Physiol Biochem. 2024 Aug;213:108857. doi: 10.1016/j.plaphy.2024.108857. Epub 2024 Jun 18.' class='scea-table'>Plant Physiol Biochem. 2024 Aug;213:108857. doi: 10.1016/j.plaphy.2024.108857. Epub 2024 Jun 18.</div>,<a href='http://dx.doi.org/10.1016/j.plaphy.2024.108857'>10.1016/j.plaphy.2024.108857</a>,5296,,,<i>Cynodon dactylon</i>
<div title='Spatial transcriptome and single-cell RNA sequencing reveal the molecular basis of cotton fiber initiation development' class='scea-table'>Spatial transcriptome and single-cell RNA sequencing reveal the molecular basis of cotton fiber initiation development</div>,"<div title='Zhang J, Chen R, Dai F, Tian Y, Shi Y, He Y, Hu Y, Zhang T' class='scea-table'>Zhang J, Chen R, Dai F, Tian Y, Shi Y, He Y, Hu Y, Zhang T</div>",,<div title='Plant J. 2025 Mar;121(6):e70064. doi: 10.1111/tpj.70064.' class='scea-table'>Plant J. 2025 Mar;121(6):e70064. doi: 10.1111/tpj.70064.</div>,<a href='http://dx.doi.org/10.1111/tpj.70064'>10.1111/tpj.70064</a>,7566,,,<i>Gossypium hirsutum</i>
<div title='Cell type-specific cytonuclear coevolution in three allopolyploid plant species' class='scea-table'>Cell type-specific cytonuclear coevolution in three allopolyploid plant species</div>,"<div title='Zhang K, Zhao X, Zhao Y, Zhang Z, Liu Z, Liu Z, Yu Y, Li J, Ma Y, Dong Y, Pang X, Jin X, Li N, Liu B, Wendel JF, Zhai J, Long Y, Wang T, Gong L' class='scea-table'>Zhang K, Zhao X, Zhao Y, Zhang Z, Liu Z, Liu Z, Yu Y, Li J, Ma Y, Dong Y, Pang X, Jin X, Li N, Liu B, Wendel JF, Zhai J, Long Y, Wang T, Gong L</div>",,<div title='Proc Natl Acad Sci U S A. 2023 Oct 3;120(40):e2310881120. doi: 10.1073/pnas.2310881120. Epub 2023 Sep 25.' class='scea-table'>Proc Natl Acad Sci U S A. 2023 Oct 3;120(40):e2310881120. doi: 10.1073/pnas.2310881120. Epub 2023 Sep 25.</div>,<a href='http://dx.doi.org/10.1073/pnas.2310881120'>10.1073/pnas.2310881120</a>,2314,,,"<i>Arachis hypogaea, Gossypium hirsutum, Triticum aestivum</i>"
<div title='Asymmetric gene expression and cell-type-specific regulatory networks in the root of bread wheat revealed by single-cell multiomics analysis' class='scea-table'>Asymmetric gene expression and cell-type-specific regulatory networks in the root of bread wheat revealed by single-cell multiomics analysis</div>,"<div title='Zhang L, He C, Lai Y, Wang Y, Kang L, Liu A, Lan C, Su H, Gao Y, Li Z, Yang F, Li Q, Mao H, Chen D, Chen W, Kaufmann K, Yan W' class='scea-table'>Zhang L, He C, Lai Y, Wang Y, Kang L, Liu A, Lan C, Su H, Gao Y, Li Z, Yang F, Li Q, Mao H, Chen D, Chen W, Kaufmann K, Yan W</div>",,<div title='Genome Biol. 2023 Apr 4;24(1):65. doi: 10.1186/s13059-023-02908-x.' class='scea-table'>Genome Biol. 2023 Apr 4;24(1):65. doi: 10.1186/s13059-023-02908-x.</div>,<a href='http://dx.doi.org/10.1186/s13059-023-02908-x'>10.1186/s13059-023-02908-x</a>,6875,,<a href='https://biobigdata.nju.edu.cn/cellxgene/view/CRA008788.h5ad'>scPlantDB</a>,<i>Triticum aestivum</i>
<div title='Single-cell RNA sequencing analysis of the embryogenic callus clarifies the spatiotemporal developmental trajectories of the early somatic embryo in Dimocarpus longan' class='scea-table'>Single-cell RNA sequencing analysis of the embryogenic callus clarifies the spatiotemporal developmental trajectories of the early somatic embryo in Dimocarpus longan</div>,"<div title='Zhang S, Zhu C, Zhang X, Liu M, Xue X, Lai C, Xuhan X, Chen Y, Zhang Z, Lai Z, Lin Y' class='scea-table'>Zhang S, Zhu C, Zhang X, Liu M, Xue X, Lai C, Xuhan X, Chen Y, Zhang Z, Lai Z, Lin Y</div>",,<div title='Plant J. 2023 Sep;115(5):1277-1297. doi: 10.1111/tpj.16319. Epub 2023 Jun 9.' class='scea-table'>Plant J. 2023 Sep;115(5):1277-1297. doi: 10.1111/tpj.16319. Epub 2023 Jun 9.</div>,<a href='http://dx.doi.org/10.1111/tpj.16319'>10.1111/tpj.16319</a>,28727,,,<i>Dimocarpus longan</i>
